libvpl 2.10.2-1
libvpx 1.14.0-1
libvterm 0.3.3-1
libwacom 2.10.0-1
libwbclient 4.19.5-1
libwebp 1.3.2-1
libwireplumber 0.4.17-1
libwmf 0.2.13-1
libwpe 1.14.2-1
libx11 1.8.7-1
libxau 1.0.11-2
libxaw 1.0.16-1
libxcb 1.16.1-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.2-1
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfce4ui 4.18.6-1
libxfce4util 4.18.2-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.6.0-1
libxkbcommon-x11 1.6.0-1
libxkbfile 1.1.3-1
libxklavier 5.4-5
libxml2 2.12.6-1
libxmlb 0.3.15-1
libxmu 1.1.4-1
libxpm 3.5.17-1
libxpresent 1.0.1-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxshmfence 1.3.2-1
libxslt 1.1.39-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2426+464c51a0-1
libzip 1.10.1-1
licenses 20240206-1
lilv 0.24.24-1
linbox 1.7.0-1
linux 6.8.1.arch1-1
linux-api-headers 6.7-1
linux-firmware 20240312.3b128b60-1
linux-firmware-whence 20240312.3b128b60-1
lirc 1:0.10.2-3
live-media 2023.01.19-1
llvm-libs 17.0.6-2
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.32-1
localsend-bin 1.14.0-1
loupe 45.3-1
lrcalc 2.1-4
lsof 4.99.3-2
lua 5.4.6-3
luajit 2.1.1702233742-1
lv2 1.18.10-1
lz4 1:1.9.4-2
lzo 2.10-5
m4 1.4.19-3
m4ri 20200125-2
m4rie 20200125-2
mailcap 2.1.54-1
make 4.4.1-2
mallard-ducktype 1.0.2-9
man-db 2.12.0-1
manim 0.18.0-1
maxima 5.47.0-10
maxima-ecl 5.47.0-10
maxima-fas 5.47.0-10
mbedtls 3.5.1-1
mbedtls2 2.28.7-1
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 24-2
mesa 1:24.0.3-1
meson 1.4.0-2
minizip 1:1.3.1-1
mjpegtools 2.2.1-2
mkinitcpio 38.1-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
modemmanager 1.22.0-1
mpfi 1.5.4-4
mpfr 4.2.1-2
mpg123 1.32.5-1
mpv 1:0.37.0-2
mpv-handler 0.3.5-2
msgpack-c 5.0.0-2
mtdev 1.1.6-2
mujs 1.3.4-1
mutter 45.5-1
nano 7.2-1
nautilus 45.2.1-1
nauty 1:2.8.8-2
ncurses 6.4_20230520-1
neofetch 7.1.0-2
neon 0.33.0-1
neovim 0.9.5-2
net-snmp 5.9.4-2
netpbm 10.86.40-1
nettle 3.9.1-1
network-manager-applet 1.36.0-1
networkmanager 1.46.0-2
ninja 1.11.1-3
nm-connection-editor 1.36.0-1
node-gyp 10.0.1-1
nodejs 21.7.0-1
nodejs-nopt 7.2.0-1
normaliz 3.10.2-1
noto-fonts 1:24.3.1-1
noto-fonts-emoji 1:2.042-1
npm 10.5.0-1
npth 1.7-1
nspr 4.35-2
nss 3.99-1
ntfs-3g 2022.10.3-1
ntl 11.5.1-1
numactl 2.0.18-1
nwg-bar-bin 0.1.6-2
nwg-clipman 0.2.1-2
nwg-displays 0.3.14-1
nwg-dock-bin 0.3.9-3
nwg-dock-hyprland-bin 0.1.7-3
nwg-dock-hyprland-bin-debug 0.1.7-3
nwg-drawer-bin 0.4.7-1
nwg-icon-picker 0.1.1-1
nwg-look 0.2.7-1
nwg-menu-bin 0.1.3-2
nwg-menu-bin-debug 0.1.3-2
nwg-panel 0.9.25-1
nwg-readme-browser 0.1.5-1
nwg-shell 0.5.33-1
nwg-shell-config 0.5.34-1
nwg-shell-wallpapers 1.5-1
obs-studio 30.1.0-1
ocl-icd 2.3.2-1
oniguruma 6.9.9-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.2.3-1
openjpeg2 2.5.2-1
openmpi 5.0.2-6
openpmix 4.2.9-1
openrgb 0.9-2
openssh 9.7p1-1
openssl 3.2.1-1
openucx 1.15.0-2
opus 1.5.1-1
orc 0.4.38-1
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-contrib 1.10.5-1
pacman-mirrorlist 20231001-1
palp 1:2.21-2
pam 1.6.0-4
pambase 20230918-1
pango 1:1.52.1-1
pangomm 2.46.4-1
papirus-icon-theme 20240201-1
parabolic 2023.11.1-1
